Modelo,Velocidade (km/h)
Merc 280,133
Cadillac Fleetwood,132
Toyota Corona,80
Merc 230,118
Volvo 142E,97
Pontiac Firebird,115
Duster 360,125
Merc 280C,150
Hornet 4 Drive,127
Valiant,92
Merc 280,148
Volvo 142E,78
Duster 360,135
Toyota Corona,94
Camaro Z28,147
Fiat X1-9,116
Merc 230,125
Fiat 128,116
Volvo 142E,87
Merc 280,139
Merc 450SLC,114
Merc 280,136
Merc 280,140
Hornet Sportabout,129
Merc 280,142
Hornet 4 Drive,137
Fiat X1-9,112
Merc 450SE,144
Merc 230,117
Merc 450SE,159
Dodge Challenger,103
Dodge Challenger,100
AMC Javelin,153
Porsche 914-2,91
Datsun 710,137
Merc 280C,144
Porsche 914-2,112
Dodge Challenger,107
Pontiac Firebird,113
Fiat 128,96
Valiant,101
Duster 360,133
Fiat 128,114
Merc 280,142
Dodge Challenger,107
Maserati Bora,126
Merc 280,132
Merc 450SE,151
Toyota Corona,93
Datsun 710,130
Honda Civic,135
Valiant,93
Volvo 142E,90
Maserati Bora,124
Lotus Europa,108
Fiat X1-9,127
Pontiac Firebird,114
Datsun 710,116
Toyota Corona,103
Merc 450SLC,108
Hornet Sportabout,129
Merc 230,111
Merc 450SLC,108
Merc 450SE,151
Volvo 142E,94
Valiant,106
Chrysler Imperial,127
Lotus Europa,107
Hornet Sportabout,143
Hornet Sportabout,143
Hornet Sportabout,118
Valiant,94
Dodge Challenger,104
Datsun 710,148
Pontiac Firebird,135
Merc 280,126
Duster 360,135
Merc 450SLC,123
Mazda RX4 Wag,97
Volvo 142E,98
Fiat 128,100
Toyota Corona,94
Pontiac Firebird,126
Honda Civic,144
Ford Pantera L,112
Fiat 128,107
Porsche 914-2,126
Hornet 4 Drive,125
Toyota Corolla,100
Pontiac Firebird,134
Cadillac Fleetwood,139
Merc 450SLC,123
Honda Civic,153
Merc 280,158
Valiant,110
Toyota Corolla,91
Volvo 142E,104
Lotus Europa,105
Toyota Corona,90
Maserati Bora,124
Toyota Corolla,117
Merc 230,117
Valiant,98
Valiant,85
Honda Civic,131
Camaro Z28,148
Valiant,97
Toyota Corona,90
Valiant,104
Mazda RX4 Wag,104
Merc 230,128
Duster 360,147
Hornet Sportabout,131
Porsche 914-2,100
Merc 280C,137
Merc 450SE,153
Duster 360,118
Duster 360,147
Maserati Bora,133
Volvo 142E,91
Volvo 142E,95
Honda Civic,134
Pontiac Firebird,110
Merc 280,138
Datsun 710,124
Valiant,86
Hornet Sportabout,156
Toyota Corolla,84
Pontiac Firebird,129
Cadillac Fleetwood,131
Porsche 914-2,117
Merc 230,142
Porsche 914-2,100
Honda Civic,126
Valiant,89
Porsche 914-2,112
Mazda RX4 Wag,76
Ferrari Dino,134
Ford Pantera L,106
Valiant,104
Ford Pantera L,77
Hornet 4 Drive,115
Volvo 142E,74
Dodge Challenger,102
Lotus Europa,90
Merc 280,135
Maserati Bora,122
Merc 240D,138
Lotus Europa,92
Honda Civic,131
Honda Civic,140
AMC Javelin,150
Valiant,111
Merc 450SE,160
Merc 280,129
Fiat X1-9,130
Pontiac Firebird,112
Datsun 710,150
Merc 450SLC,113
Fiat X1-9,124
Valiant,83
Merc 230,122
Merc 450SL,106
Lincoln Continental,154
Volvo 142E,88
Dodge Challenger,105
Merc 450SL,95
Fiat X1-9,102
Merc 450SLC,131
Cadillac Fleetwood,130
Merc 450SE,144
Duster 360,134
Chrysler Imperial,134
Merc 280,151
Merc 240D,130
Merc 450SE,144
Hornet Sportabout,140
Merc 280C,132
Merc 280C,140
Lotus Europa,102
Hornet 4 Drive,143
Mazda RX4 Wag,120
Lotus Europa,96
Porsche 914-2,96
Merc 450SE,136
Mazda RX4 Wag,110
Merc 450SLC,123
Camaro Z28,154
Ferrari Dino,153
Hornet 4 Drive,126
Valiant,86
Hornet Sportabout,141
Hornet Sportabout,134
Merc 450SE,141
Merc 450SLC,107
Toyota Corona,66
Pontiac Firebird,110
Merc 240D,144
Duster 360,129
Ferrari Dino,116
Valiant,91
Merc 280,142
Camaro Z28,145
Camaro Z28,146
Fiat 128,91
Merc 450SLC,133
Merc 450SL,93
Hornet Sportabout,142
Ferrari Dino,152
Merc 230,115
Honda Civic,123
Honda Civic,130
AMC Javelin,148
Toyota Corona,92
Fiat X1-9,94
Volvo 142E,74
Honda Civic,141
Datsun 710,155
AMC Javelin,155
Merc 230,130
Fiat X1-9,130
Camaro Z28,149
Merc 230,139
Fiat 128,111
Ford Pantera L,93
Toyota Corolla,91
Toyota Corolla,89
Merc 280,136
Merc 450SLC,115
Hornet 4 Drive,136
Merc 280,152
Merc 230,149
AMC Javelin,139
Merc 280,143
Toyota Corona,76
Lotus Europa,102
Merc 230,132
Pontiac Firebird,123
Fiat X1-9,124
Mazda RX4 Wag,79
Maserati Bora,153
Merc 280,145
Toyota Corona,109
Toyota Corolla,104
Hornet Sportabout,122
AMC Javelin,144
Dodge Challenger,103
Lotus Europa,112
AMC Javelin,147
Merc 450SE,145
Cadillac Fleetwood,140
Toyota Corona,102
Ferrari Dino,153
Duster 360,136
Ford Pantera L,96
Hornet Sportabout,128
Volvo 142E,88
Dodge Challenger,121
Merc 450SLC,135
Merc 280,131
Chrysler Imperial,120
Lotus Europa,93
Hornet 4 Drive,120
Maserati Bora,130
Honda Civic,123
Toyota Corona,92
Dodge Challenger,115
Merc 240D,145
Ferrari Dino,121
Cadillac Fleetwood,144
Lotus Europa,112
Merc 450SE,137
Merc 450SE,133
Merc 280,131
Merc 450SE,119
Valiant,94
Honda Civic,120
Hornet Sportabout,136
Duster 360,141
Merc 450SE,139
Dodge Challenger,106
Mazda RX4 Wag,87
Datsun 710,139
Hornet Sportabout,153
Toyota Corona,99
Duster 360,136
Datsun 710,162
Merc 280C,157
Hornet 4 Drive,116
Fiat X1-9,123
Camaro Z28,140
Merc 280,128
Camaro Z28,146
Fiat X1-9,126
Ford Pantera L,96
Merc 450SL,97
Ford Pantera L,81
Dodge Challenger,103
Honda Civic,131
Merc 280C,150
Datsun 710,150
Dodge Challenger,105
Camaro Z28,140
Valiant,94
Merc 280,139
Honda Civic,139
Fiat X1-9,110
Merc 280,154
Merc 450SLC,126
Mazda RX4 Wag,111
Ford Pantera L,117
Pontiac Firebird,132
Honda Civic,139
Hornet Sportabout,148
Cadillac Fleetwood,134
Porsche 914-2,96
AMC Javelin,137
Merc 450SE,141
Dodge Challenger,89
Lotus Europa,102
Dodge Challenger,97
Merc 230,132
Valiant,126
Hornet 4 Drive,133
Camaro Z28,143
Valiant,94
Merc 280C,159
AMC Javelin,148
Merc 450SLC,125
AMC Javelin,166
Camaro Z28,165
Hornet Sportabout,136
Merc 450SE,146
Merc 240D,132
Ford Pantera L,102
Pontiac Firebird,116
Camaro Z28,140
Volvo 142E,78
Merc 450SE,128
Merc 280C,127
Fiat X1-9,116
Merc 450SLC,105
Honda Civic,130
Fiat X1-9,112
Camaro Z28,155
Maserati Bora,120
Chrysler Imperial,150
Merc 240D,150
Mazda RX4 Wag,118
Merc 450SE,140
Ferrari Dino,132
Merc 450SLC,109
Pontiac Firebird,104
Merc 450SL,108
Pontiac Firebird,107
Volvo 142E,106
Porsche 914-2,108
Dodge Challenger,92
Fiat 128,87
Hornet 4 Drive,140
Lotus Europa,116
Merc 230,140
Dodge Challenger,116
Merc 240D,142
Mazda RX4 Wag,109
Lotus Europa,111
Hornet 4 Drive,136
Merc 450SE,141
Hornet 4 Drive,129
Honda Civic,127
Ford Pantera L,92
Merc 230,113
Merc 450SLC,109
Ford Pantera L,96
Valiant,87
Dodge Challenger,108
Honda Civic,129
Valiant,103
Lotus Europa,95
Merc 450SE,145
Datsun 710,133
Toyota Corona,112
Valiant,97
Fiat X1-9,124
Lotus Europa,99
Merc 230,132
Merc 450SL,81
Pontiac Firebird,123
Datsun 710,122
Porsche 914-2,108
Toyota Corona,87
Datsun 710,134
Merc 230,105
Hornet Sportabout,138
Hornet 4 Drive,130
Valiant,86
Fiat 128,96
Volvo 142E,104
Ford Pantera L,98
Valiant,97
Hornet Sportabout,137
Honda Civic,139
Merc 450SL,90
Fiat X1-9,99
Camaro Z28,144
Lotus Europa,102
Honda Civic,130
Mazda RX4 Wag,106
Ferrari Dino,117
Porsche 914-2,114
Hornet 4 Drive,120
Maserati Bora,124
Duster 360,132
Cadillac Fleetwood,127
Ferrari Dino,150
Hornet Sportabout,145
Merc 280C,137
Merc 450SE,139
Duster 360,119
Merc 450SE,138
Camaro Z28,156
Lotus Europa,87
Toyota Corona,113
Hornet 4 Drive,144
Merc 450SE,135
Toyota Corolla,95
Camaro Z28,155
Valiant,102
Hornet 4 Drive,120
Valiant,126
Merc 450SE,154
Lincoln Continental,157
Merc 280,114
Merc 450SL,106
Merc 280,128
Merc 450SE,151
Duster 360,140
Porsche 914-2,105
Volvo 142E,83
Camaro Z28,147
Pontiac Firebird,102
Dodge Challenger,119
Lincoln Continental,147
Lotus Europa,87
Hornet Sportabout,158
Dodge Challenger,86
Dodge Challenger,113
Pontiac Firebird,113
Volvo 142E,91
Maserati Bora,130
Lotus Europa,100
Valiant,104
Lotus Europa,106
Pontiac Firebird,128
Ferrari Dino,152
Volvo 142E,102
Hornet 4 Drive,121
Camaro Z28,161
Chrysler Imperial,129
Honda Civic,127
Maserati Bora,122
Duster 360,133
Chrysler Imperial,139
Porsche 914-2,92
Hornet Sportabout,150
Merc 450SE,136
Dodge Challenger,106
Ferrari Dino,152
Mazda RX4 Wag,96
Maserati Bora,121
Merc 450SLC,102
Valiant,83
Merc 450SLC,117
Lotus Europa,87
Hornet Sportabout,100
Merc 280C,122
Camaro Z28,157
Duster 360,136
Merc 240D,129
Duster 360,132
Merc 450SLC,130
Ferrari Dino,131
Dodge Challenger,101
Toyota Corolla,113
Volvo 142E,83
Valiant,98
Hornet 4 Drive,139
Honda Civic,151
Pontiac Firebird,115
Dodge Challenger,95
Camaro Z28,146
Pontiac Firebird,129
Merc 450SL,85
Hornet Sportabout,147
Hornet Sportabout,134
Mazda RX4 Wag,108
Merc 450SE,162
Mazda RX4 Wag,106
Cadillac Fleetwood,142
Merc 450SE,144
Porsche 914-2,104
Merc 450SLC,118
Merc 450SE,134
Volvo 142E,94
Honda Civic,135
Camaro Z28,150
Valiant,99
Maserati Bora,145
Mazda RX4 Wag,105
Merc 280C,133
Datsun 710,119
Merc 280C,155
Hornet 4 Drive,123
Merc 230,111
Ferrari Dino,114
Merc 280,145
Camaro Z28,162
Hornet Sportabout,129
AMC Javelin,167
Merc 240D,135
Ferrari Dino,133
Merc 450SE,154
Duster 360,132
Hornet 4 Drive,113
Valiant,99
Ferrari Dino,120
Ford Pantera L,103
Honda Civic,125
Camaro Z28,146
Valiant,87
Fiat X1-9,115
Hornet 4 Drive,145
Valiant,96
Porsche 914-2,94
Datsun 710,141
Valiant,106
Merc 280,151
Porsche 914-2,120
Fiat X1-9,97
Valiant,96
Volvo 142E,95
Pontiac Firebird,131
Dodge Challenger,103
Hornet 4 Drive,130
Datsun 710,137
Lincoln Continental,169
Merc 450SLC,98
Datsun 710,144
Camaro Z28,137
AMC Javelin,150
Honda Civic,128
Honda Civic,121
Merc 450SE,155
Merc 280C,151
Toyota Corona,93
Camaro Z28,137
Merc 280C,135
Dodge Challenger,106
Merc 450SLC,119
Hornet 4 Drive,139
Mazda RX4 Wag,98
Merc 450SLC,121
Merc 230,124
Merc 450SL,80
Honda Civic,135
Toyota Corona,96
Hornet Sportabout,159
Hornet Sportabout,136
Toyota Corolla,92
Cadillac Fleetwood,133
Datsun 710,140
Merc 450SE,113
Honda Civic,134
Volvo 142E,99
Toyota Corolla,103
Ferrari Dino,133
Merc 280,135
Merc 450SLC,140
AMC Javelin,145
Honda Civic,152
Camaro Z28,146
Hornet 4 Drive,130
Mazda RX4 Wag,108
Dodge Challenger,114
Maserati Bora,138
Lotus Europa,124
Duster 360,129
Duster 360,132
Merc 230,132
Datsun 710,132
Hornet 4 Drive,127
Valiant,109
Porsche 914-2,104
AMC Javelin,158
Dodge Challenger,96
Honda Civic,147
AMC Javelin,146
Datsun 710,137
Volvo 142E,78
Porsche 914-2,117
Camaro Z28,143
Merc 280,148
Valiant,92
Fiat X1-9,101
Camaro Z28,146
Fiat 128,88
AMC Javelin,143
Fiat X1-9,101
Mazda RX4 Wag,96
Fiat X1-9,109
Ford Pantera L,84
Merc 230,129
Fiat 128,100
Volvo 142E,96
Toyota Corolla,84
Volvo 142E,81
Duster 360,152
Pontiac Firebird,113
Ford Pantera L,112
Merc 450SLC,110
Merc 280,142
Mazda RX4 Wag,103
Merc 450SL,101
AMC Javelin,145
Duster 360,123
Camaro Z28,133
Pontiac Firebird,112
Merc 450SL,92
Merc 450SLC,134
Fiat X1-9,113
Honda Civic,145
Merc 280C,147
Hornet 4 Drive,135
Fiat X1-9,113
Porsche 914-2,99
Valiant,98
Merc 230,134
Cadillac Fleetwood,125
Porsche 914-2,100
Merc 280,138
Duster 360,139
Merc 450SL,78
Honda Civic,120
Ferrari Dino,138
Toyota Corolla,92
Merc 230,119
Hornet Sportabout,143
Valiant,112
Duster 360,123
Duster 360,138
Volvo 142E,92
Duster 360,136
Merc 450SLC,119
Valiant,95
Chrysler Imperial,123
Mazda RX4 Wag,107
Merc 280C,149
Porsche 914-2,106
Valiant,113
Merc 230,133
Lincoln Continental,133
Hornet 4 Drive,136
Cadillac Fleetwood,120
Merc 280C,137
Maserati Bora,129
Porsche 914-2,111
Merc 450SE,150
Pontiac Firebird,126
Hornet 4 Drive,137
Merc 280,153
Pontiac Firebird,114
Porsche 914-2,116
Fiat 128,94
Merc 450SLC,116
Honda Civic,126
Ferrari Dino,119
Honda Civic,132
Camaro Z28,140
Mazda RX4 Wag,94
Merc 450SL,87
Valiant,82
Fiat X1-9,82
Toyota Corona,101
Maserati Bora,106
Valiant,118
Pontiac Firebird,126
Datsun 710,151
Mazda RX4 Wag,104
Merc 280,121
Ford Pantera L,103
Pontiac Firebird,116
Maserati Bora,115
Pontiac Firebird,105
Duster 360,119
Merc 240D,114
Fiat X1-9,98
Lotus Europa,101
Merc 450SL,115
Camaro Z28,154
Maserati Bora,133
Datsun 710,136
Ford Pantera L,107
Hornet 4 Drive,149
Toyota Corona,86
Merc 280,155
Camaro Z28,165
Merc 450SLC,132
Merc 450SE,137
Duster 360,133
Merc 230,127
Lotus Europa,110
Merc 450SE,161
Merc 280C,156
Merc 450SLC,118
Lotus Europa,102
Toyota Corona,85
Merc 280C,152
Pontiac Firebird,102
Valiant,116
Merc 230,115
Honda Civic,125
AMC Javelin,139
Ferrari Dino,134
Volvo 142E,94
AMC Javelin,145
Merc 450SLC,101
Toyota Corona,93
Pontiac Firebird,139
Merc 280C,159
Merc 450SE,135
Fiat 128,100
AMC Javelin,156
Duster 360,140
Hornet 4 Drive,141
Toyota Corolla,112
AMC Javelin,149
Cadillac Fleetwood,135
Porsche 914-2,109
Merc 240D,132
Chrysler Imperial,143
Merc 230,111
Merc 450SLC,118
Maserati Bora,126
Cadillac Fleetwood,147
Pontiac Firebird,95
Duster 360,117
Hornet Sportabout,131
Hornet Sportabout,142
Pontiac Firebird,126
Volvo 142E,92
Merc 450SE,155
Maserati Bora,137
Honda Civic,131
Dodge Challenger,97
Ford Pantera L,87
Duster 360,129
Pontiac Firebird,129
Ferrari Dino,138
Dodge Challenger,104
Merc 280C,137
Porsche 914-2,129
AMC Javelin,141
Lotus Europa,88
Hornet Sportabout,141
Merc 450SL,107
Hornet Sportabout,128
Lotus Europa,81
Ferrari Dino,144
Camaro Z28,154
Hornet 4 Drive,142
Ford Pantera L,81
Volvo 142E,92
Honda Civic,125
Merc 280C,142
Merc 280C,135
Porsche 914-2,83
Volvo 142E,93
Merc 450SE,145
Volvo 142E,108
Merc 450SL,107
Duster 360,138
Lincoln Continental,126
Maserati Bora,140
Merc 280C,150
Porsche 914-2,112
AMC Javelin,164
Datsun 710,132
Datsun 710,134
Merc 450SE,139
Lotus Europa,99
AMC Javelin,144
Merc 230,108
Merc 240D,143
Hornet Sportabout,153
Merc 450SLC,112
Honda Civic,130
Cadillac Fleetwood,137
Hornet Sportabout,142
AMC Javelin,140
Valiant,97
Volvo 142E,90
Merc 450SE,132
Merc 240D,132
Toyota Corona,88
Duster 360,137
Volvo 142E,101
Hornet 4 Drive,119
Valiant,106
Volvo 142E,92
Chrysler Imperial,134
Hornet Sportabout,135
Duster 360,119
Duster 360,135
Hornet 4 Drive,129
Porsche 914-2,107
Datsun 710,125
Merc 230,134
Datsun 710,142
Ford Pantera L,95
Hornet Sportabout,138
Ford Pantera L,100
Duster 360,145
Porsche 914-2,115
Hornet Sportabout,137
Fiat X1-9,94
Merc 450SE,142
Merc 280,147
Fiat 128,92
Porsche 914-2,107
Ferrari Dino,141
Hornet Sportabout,150
Fiat X1-9,118
Merc 280,142
Duster 360,129
Volvo 142E,86
Lotus Europa,98
Ford Pantera L,90
Merc 450SLC,116
Lotus Europa,111
Datsun 710,119
Toyota Corolla,118
Volvo 142E,95
Camaro Z28,150
Volvo 142E,94
Merc 240D,113
Hornet 4 Drive,128
Hornet 4 Drive,138
Merc 450SE,146
Merc 450SE,151
Merc 450SL,112
Hornet Sportabout,137
Pontiac Firebird,127
Mazda RX4 Wag,116
Merc 240D,142
AMC Javelin,162
Porsche 914-2,121
Dodge Challenger,85
Datsun 710,152
Maserati Bora,142
Ford Pantera L,107
Duster 360,131
Fiat X1-9,120
Fiat X1-9,129
Lotus Europa,98
Ferrari Dino,147
Merc 450SE,144
Merc 280C,132
Merc 450SL,98
Fiat 128,100
Merc 230,121
Porsche 914-2,115
Merc 450SL,97
Hornet Sportabout,145
Merc 280,141
Lotus Europa,109
Lincoln Continental,145
Camaro Z28,151
Merc 450SL,107
Merc 230,132
Merc 230,121
Merc 450SL,89
Maserati Bora,136
Volvo 142E,99
Merc 450SE,140
Toyota Corolla,107
Merc 450SL,100
Merc 450SLC,118
Merc 450SLC,122
Merc 280,136
Merc 240D,136
Merc 450SL,92
Pontiac Firebird,135
Valiant,108
Ford Pantera L,83
Ford Pantera L,89
Hornet 4 Drive,124
Honda Civic,129
Valiant,101
Valiant,105
Dodge Challenger,106
Ferrari Dino,128
Ferrari Dino,143
Chrysler Imperial,158
Duster 360,146
Hornet Sportabout,145
AMC Javelin,149
Merc 450SE,144
Merc 280C,139
Datsun 710,138
Porsche 914-2,106
Cadillac Fleetwood,128
Merc 230,126
Merc 280C,131
Merc 240D,140
Fiat X1-9,146
Camaro Z28,131
Lotus Europa,107
Pontiac Firebird,125
Valiant,109
Lotus Europa,109
Merc 450SL,99
Merc 450SLC,109
Merc 450SE,120
Volvo 142E,97
Hornet 4 Drive,127
Valiant,84
Merc 280,142
Merc 230,129
Merc 230,150
Toyota Corolla,94
Merc 450SL,97
Hornet 4 Drive,133
Fiat X1-9,126
Pontiac Firebird,113
Merc 230,101
Merc 450SE,136
Hornet Sportabout,134
Merc 450SE,130
Merc 230,130
Fiat X1-9,99
Pontiac Firebird,111
Duster 360,136
Duster 360,123
Merc 240D,140
Pontiac Firebird,116
Mazda RX4 Wag,99
Lincoln Continental,133
Merc 450SLC,116
Valiant,101
AMC Javelin,153
Cadillac Fleetwood,141
Merc 450SE,142
Camaro Z28,162
Merc 450SLC,136
Hornet 4 Drive,131
Merc 230,124
Fiat 128,110
Toyota Corona,85
Ferrari Dino,149
Honda Civic,139
Merc 280,128
Merc 230,127
Merc 450SLC,135
Ferrari Dino,149
Mazda RX4 Wag,106
Merc 450SE,144
Merc 450SLC,116
Fiat 128,97
Merc 450SL,87
Mazda RX4 Wag,100
Merc 450SLC,101
Toyota Corolla,124
Merc 280C,141
Chrysler Imperial,122
Volvo 142E,89
Dodge Challenger,103
Pontiac Firebird,131
Volvo 142E,99
Lotus Europa,99
Merc 450SLC,112
Hornet 4 Drive,128
Cadillac Fleetwood,132
Dodge Challenger,118
Hornet Sportabout,129
Merc 280C,144
Chrysler Imperial,130
Dodge Challenger,110
Volvo 142E,86
Datsun 710,131
Merc 280C,151
Volvo 142E,85
Honda Civic,121
Fiat X1-9,114
Maserati Bora,142
Fiat X1-9,128
Chrysler Imperial,136
Toyota Corona,109
Toyota Corolla,115
Merc 230,130
Ferrari Dino,139
Merc 240D,140
AMC Javelin,140
Merc 280C,152
Merc 450SLC,114
Merc 450SL,75
Ford Pantera L,99
Porsche 914-2,116
Porsche 914-2,105
Honda Civic,139
Maserati Bora,140
AMC Javelin,141
Hornet Sportabout,139
AMC Javelin,143
Valiant,97
Maserati Bora,131
Hornet Sportabout,139
Hornet Sportabout,135
Valiant,95
Merc 450SLC,105
Hornet 4 Drive,126
Camaro Z28,143
Fiat 128,99
Dodge Challenger,87
Camaro Z28,147
Ford Pantera L,109
Volvo 142E,90
Duster 360,133
Cadillac Fleetwood,120
Merc 450SL,91
Ferrari Dino,146
Lincoln Continental,122
Datsun 710,140
Volvo 142E,86
Merc 240D,144
Merc 240D,131
Lotus Europa,95
Volvo 142E,111
Merc 230,148
Fiat X1-9,114
Merc 450SLC,107
Pontiac Firebird,131
Merc 450SLC,96
Pontiac Firebird,106
Lincoln Continental,149
Merc 450SE,130
Toyota Corona,98
Merc 280,112
Lincoln Continental,141
Merc 280,137
Lotus Europa,112
Duster 360,150
Lotus Europa,72
Hornet 4 Drive,136
Merc 450SLC,128
Dodge Challenger,92
Camaro Z28,148
Merc 450SLC,98
Toyota Corolla,116
Cadillac Fleetwood,116
Merc 450SL,113
Duster 360,144
Lotus Europa,111
Datsun 710,149
Camaro Z28,160
Camaro Z28,144
Dodge Challenger,115
Pontiac Firebird,121
Merc 230,130
Merc 280C,132
Maserati Bora,129
Dodge Challenger,109
Ford Pantera L,98
Honda Civic,131
Pontiac Firebird,134
Camaro Z28,149
Merc 280C,132
Merc 280C,134
Ford Pantera L,101
AMC Javelin,154
Merc 450SE,137
Toyota Corona,78
Hornet Sportabout,120
Merc 230,125
Merc 280,139
Camaro Z28,141
Valiant,99
Lincoln Continental,137
Hornet 4 Drive,120
Duster 360,133
Porsche 914-2,106
Merc 450SLC,130
Merc 240D,147
Volvo 142E,96
Merc 280C,143
Camaro Z28,134
Dodge Challenger,110
Lincoln Continental,157
Merc 230,131
Hornet Sportabout,133
Merc 450SE,128
Mazda RX4 Wag,99
Hornet 4 Drive,120
Duster 360,125
Merc 240D,132
Volvo 142E,77
Merc 450SE,155
Datsun 710,118
Hornet Sportabout,139
Hornet 4 Drive,130
Ferrari Dino,139
Honda Civic,135
Volvo 142E,91
AMC Javelin,165
Honda Civic,150
Cadillac Fleetwood,145
Datsun 710,135
Volvo 142E,80
Duster 360,154
Merc 230,132
Ferrari Dino,143
Cadillac Fleetwood,121
Merc 450SLC,104
Merc 280C,153
Fiat X1-9,87
Valiant,99
Toyota Corona,90
Merc 450SLC,122
Fiat 128,98
Merc 230,122
Mazda RX4 Wag,106
Duster 360,158
Chrysler Imperial,117
Merc 450SLC,116
Merc 230,123
Merc 450SE,143
Hornet 4 Drive,139
Merc 230,105
Merc 450SE,145
Merc 450SE,149
Maserati Bora,95
Mazda RX4 Wag,94
Merc 280C,155
Duster 360,135
Hornet 4 Drive,118
Pontiac Firebird,120
Ford Pantera L,90
Toyota Corolla,117
Merc 240D,133
Valiant,92
Mazda RX4 Wag,93
Fiat 128,102
Pontiac Firebird,112
Merc 240D,125
Merc 240D,128
Valiant,90
Camaro Z28,155
Camaro Z28,147
Hornet Sportabout,130
Porsche 914-2,104
Merc 450SE,149
Duster 360,132
Merc 450SL,85
Hornet Sportabout,147
Merc 240D,142
Fiat X1-9,92
Honda Civic,126
Merc 450SLC,117
Honda Civic,138
Honda Civic,134
Duster 360,136
Honda Civic,123
Merc 230,137
Fiat 128,96
Lincoln Continental,126
Fiat X1-9,101
Cadillac Fleetwood,134
Merc 450SLC,129
Pontiac Firebird,108
Honda Civic,139
Ford Pantera L,108
Maserati Bora,124
Porsche 914-2,125
Ferrari Dino,140
Pontiac Firebird,125
Pontiac Firebird,115
Pontiac Firebird,97
Merc 450SLC,108
Mazda RX4 Wag,108
Pontiac Firebird,109
Volvo 142E,97
Pontiac Firebird,122
Merc 450SLC,130
Valiant,93
Merc 230,142
Merc 280,130
Merc 450SL,105
AMC Javelin,141
Merc 240D,129
Valiant,96
Honda Civic,145
Pontiac Firebird,111
Honda Civic,149
Pontiac Firebird,109
Hornet Sportabout,130
Camaro Z28,140
Toyota Corolla,113
Datsun 710,133
Pontiac Firebird,104
Datsun 710,137
Volvo 142E,99
Hornet 4 Drive,141
Pontiac Firebird,129
Merc 450SL,101
Toyota Corona,95
Valiant,110
Datsun 710,126
Ferrari Dino,130
Valiant,106
Fiat X1-9,110
Merc 280C,146
Mazda RX4 Wag,112
Hornet Sportabout,125
Merc 240D,136
Merc 450SL,106
Cadillac Fleetwood,130
Cadillac Fleetwood,142
Pontiac Firebird,127
Fiat X1-9,110
Merc 280,164
Ferrari Dino,136
Pontiac Firebird,132
Fiat 128,92
Ferrari Dino,159
Merc 280C,135
Merc 280,142
Toyota Corona,92
Lincoln Continental,158
Merc 450SLC,116
Ferrari Dino,139
Ferrari Dino,126
Merc 230,121
Merc 450SLC,129
Porsche 914-2,106
Merc 280,133
Valiant,115
Mazda RX4 Wag,107
Merc 450SL,110
Volvo 142E,87
Merc 280,125
Hornet Sportabout,149
Merc 450SLC,128
Fiat X1-9,108
Merc 280,138
Duster 360,136
Merc 450SLC,145
Valiant,104
Valiant,105
Honda Civic,135
Ferrari Dino,127
Merc 450SLC,112
Lotus Europa,93
Pontiac Firebird,118
Merc 450SE,145
Valiant,91
Ferrari Dino,123
Merc 280,133
Merc 450SE,136
Mazda RX4 Wag,111
Merc 450SLC,122
Honda Civic,158
Merc 450SE,147
Hornet 4 Drive,139
Cadillac Fleetwood,141
Honda Civic,159
Merc 280,142
Ford Pantera L,93
Merc 450SLC,112
Duster 360,136
Merc 280,131
Camaro Z28,123
Merc 280,127
Toyota Corolla,122
Maserati Bora,124
Volvo 142E,118
Volvo 142E,91
Ferrari Dino,132
Merc 240D,139
Maserati Bora,129
Duster 360,126
Merc 240D,143
Fiat 128,107
Merc 450SLC,119
Merc 450SE,144
Honda Civic,146
Porsche 914-2,106
Merc 450SLC,113
Porsche 914-2,97
Merc 280C,139
Lotus Europa,89
Merc 450SE,158
Merc 280,148
Pontiac Firebird,129
Camaro Z28,157
Lotus Europa,99
Merc 450SLC,106
Hornet Sportabout,136
AMC Javelin,158
Mazda RX4 Wag,111
Porsche 914-2,94
Valiant,100
Merc 280,136
Honda Civic,123
Merc 450SE,132
Merc 230,121
Lincoln Continental,165
Toyota Corolla,119
Volvo 142E,66
Hornet Sportabout,150
Duster 360,134
Porsche 914-2,117
Duster 360,119
Lincoln Continental,158
Cadillac Fleetwood,122
Merc 450SLC,122
Merc 450SE,151
Merc 230,126
Volvo 142E,88
Merc 450SE,151
Lotus Europa,89
Honda Civic,138
Hornet Sportabout,143
Lotus Europa,104
Ford Pantera L,96
Honda Civic,125
Merc 450SLC,126
Valiant,115
Datsun 710,134
Pontiac Firebird,117
Cadillac Fleetwood,116
Merc 280C,147
Hornet 4 Drive,132
Honda Civic,138
Hornet Sportabout,141
Ford Pantera L,92
Volvo 142E,88
Duster 360,128
Hornet Sportabout,154
Volvo 142E,81
Datsun 710,143
Merc 450SE,135
Hornet 4 Drive,145
Fiat X1-9,112
Volvo 142E,105
Pontiac Firebird,112
Pontiac Firebird,120
Valiant,94
Cadillac Fleetwood,129
Mazda RX4 Wag,108
Merc 230,127
Volvo 142E,99
Merc 230,130
Merc 280C,132
Valiant,91
AMC Javelin,161
Hornet Sportabout,140
AMC Javelin,147
Camaro Z28,169
Ferrari Dino,136
Toyota Corona,83
Lotus Europa,75
Merc 280,141
Merc 450SLC,126
Merc 450SLC,116
